Record_Origin,Industry_Sector,Job_Title,Location,Region,Top_In_Demand_Technologies_MI (80% Share),Derived_Skill_DNA_Tokens,Market_Demand_Share_Pct,Projected_Growth_Rate_2026_Pct,Timestamp_UTC
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, BATTERY MANAGEMENT SYSTEM, SIMULINK",30,16,2026-05-16T19:22:44.545231+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, CAN BUS, MATLAB",34,26,2026-05-16T19:22:44.545315+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","SIMULINK, MATLAB, BMS",32,19,2026-05-16T19:22:44.545391+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, MATLAB, BATTERY MANAGEMENT SYSTEM",27,16,2026-05-16T19:22:44.545472+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Northwest Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, LITHIUM-ION, EMBEDDED C++",16,23,2026-05-16T19:22:44.545546+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, ISO 26262, BATTERY MANAGEMENT SYSTEM",24,11,2026-05-16T19:22:44.545641+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",West Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, LITHIUM-ION, HIGH VOLTAGE",34,24,2026-05-16T19:22:44.545723+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, ISO 26262, SIMULINK",20,26,2026-05-16T19:22:44.545822+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, BATTERY MANAGEMENT SYSTEM, MATLAB",31,14,2026-05-16T19:22:44.545894+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","HIGH VOLTAGE, BATTERY MANAGEMENT SYSTEM, BMS",23,20,2026-05-16T19:22:44.545966+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Upper Peninsula,"Simulink Platforms, Cloud Infrastructure Services","SIMULINK, ISO 26262, HIGH VOLTAGE",25,15,2026-05-16T19:22:44.546031+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, SIMULINK, ISO 26262",32,21,2026-05-16T19:22:44.546110+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","LITHIUM-ION, MATLAB, BMS",16,15,2026-05-16T19:22:44.546185+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, LITHIUM-ION, AUTOSAR",26,14,2026-05-16T19:22:44.546268+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, HIGH VOLTAGE, MATLAB",32,10,2026-05-16T19:22:44.546343+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","EMBEDDED C++, BMS, MATLAB",20,28,2026-05-16T19:22:44.546424+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, BATTERY MANAGEMENT SYSTEM, MATLAB",25,14,2026-05-16T19:22:44.546500+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, ISO 26262, AUTOSAR",22,11,2026-05-16T19:22:44.546579+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Upper Peninsula,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, LITHIUM-ION, HIGH VOLTAGE",17,9,2026-05-16T19:22:44.546676+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Southeast Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, SIMULINK, HIGH VOLTAGE",32,14,2026-05-16T19:22:44.546765+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, BATTERY MANAGEMENT SYSTEM, EMBEDDED C++",19,9,2026-05-16T19:22:44.546862+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, HIGH VOLTAGE, LITHIUM-ION",31,26,2026-05-16T19:22:44.546943+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","MATLAB, ISO 26262, BMS",23,13,2026-05-16T19:22:44.547019+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, BATTERY MANAGEMENT SYSTEM, MATLAB",32,28,2026-05-16T19:22:44.547114+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Upper Peninsula,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, CAN BUS, EMBEDDED C++",27,8,2026-05-16T19:22:44.547193+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BATTERY MANAGEMENT SYSTEM, BMS, AUTOSAR",32,21,2026-05-16T19:22:44.547277+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, MATLAB, ISO 26262",35,27,2026-05-16T19:22:44.547356+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, ISO 26262, SIMULINK",31,22,2026-05-16T19:22:44.547441+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, AUTOSAR, SIMULINK",35,16,2026-05-16T19:22:44.547517+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, BATTERY MANAGEMENT SYSTEM, AUTOSAR",16,15,2026-05-16T19:22:44.547598+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Northwest Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, EMBEDDED C++, HIGH VOLTAGE",19,23,2026-05-16T19:22:44.547687+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Southeast Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, EMBEDDED C++, AUTOSAR",24,17,2026-05-16T19:22:44.547773+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, ISO 26262, BATTERY MANAGEMENT SYSTEM",22,8,2026-05-16T19:22:44.547862+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, LITHIUM-ION, HIGH VOLTAGE",17,17,2026-05-16T19:22:44.547946+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, HIGH VOLTAGE, MATLAB",17,9,2026-05-16T19:22:44.548023+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, CAN BUS, BATTERY MANAGEMENT SYSTEM",30,12,2026-05-16T19:22:44.548107+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, SIMULINK, ISO 26262",30,13,2026-05-16T19:22:44.548188+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, CAN BUS, BMS",29,22,2026-05-16T19:22:44.548272+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","SIMULINK, LITHIUM-ION, BMS",33,12,2026-05-16T19:22:44.548348+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, MATLAB, LITHIUM-ION",18,11,2026-05-16T19:22:44.548431+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Upper Peninsula,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, CAN BUS, ISO 26262",20,27,2026-05-16T19:22:44.548507+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, ISO 26262, MATLAB",26,10,2026-05-16T19:22:44.548589+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, BATTERY MANAGEMENT SYSTEM, HIGH VOLTAGE",31,20,2026-05-16T19:22:44.548677+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"Simulink Platforms, Cloud Infrastructure Services","SIMULINK, BATTERY MANAGEMENT SYSTEM, MATLAB",26,14,2026-05-16T19:22:44.548762+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",West Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, ISO 26262, LITHIUM-ION",16,19,2026-05-16T19:22:44.548868+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, LITHIUM-ION, MATLAB",29,13,2026-05-16T19:22:44.548954+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, AUTOSAR, SIMULINK",33,27,2026-05-16T19:22:44.549031+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, EMBEDDED C++, ISO 26262",34,17,2026-05-16T19:22:44.549114+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, HIGH VOLTAGE, CAN BUS",31,26,2026-05-16T19:22:44.549192+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, CAN BUS, SIMULINK",22,8,2026-05-16T19:22:44.549277+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, CAN BUS, BATTERY MANAGEMENT SYSTEM",25,13,2026-05-16T19:22:44.549353+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, LITHIUM-ION, ISO 26262",34,17,2026-05-16T19:22:44.549437+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, BMS, MATLAB",21,9,2026-05-16T19:22:44.549514+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","HIGH VOLTAGE, LITHIUM-ION, BMS",25,15,2026-05-16T19:22:44.549596+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, SIMULINK, LITHIUM-ION",22,11,2026-05-16T19:22:44.549683+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, CAN BUS, MATLAB",32,18,2026-05-16T19:22:44.549767+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, SIMULINK, EMBEDDED C++",35,23,2026-05-16T19:22:44.549858+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, BATTERY MANAGEMENT SYSTEM, ISO 26262",20,9,2026-05-16T19:22:44.549944+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","MATLAB, BMS, BATTERY MANAGEMENT SYSTEM",28,19,2026-05-16T19:22:44.550034+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Southeast Michigan,"Lithium-ion Platforms, Cloud Infrastructure Services","LITHIUM-ION, HIGH VOLTAGE, SIMULINK",16,22,2026-05-16T19:22:44.550123+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, EMBEDDED C++, ISO 26262",23,21,2026-05-16T19:22:44.550215+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"Simulink Platforms, Cloud Infrastructure Services","SIMULINK, ISO 26262, EMBEDDED C++",30,27,2026-05-16T19:22:44.550302+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Northwest Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, EMBEDDED C++, AUTOSAR",26,28,2026-05-16T19:22:44.550379+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, LITHIUM-ION, SIMULINK",28,14,2026-05-16T19:22:44.550461+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Upper Peninsula,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, HIGH VOLTAGE, ISO 26262",29,8,2026-05-16T19:22:44.550538+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, MATLAB, HIGH VOLTAGE",35,24,2026-05-16T19:22:44.550633+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",West Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, LITHIUM-ION, HIGH VOLTAGE",17,18,2026-05-16T19:22:44.550710+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, AUTOSAR, CAN BUS",28,8,2026-05-16T19:22:44.550835+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, ISO 26262, BATTERY MANAGEMENT SYSTEM",23,25,2026-05-16T19:22:44.550918+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"Simulink Platforms, Cloud Infrastructure Services","SIMULINK, EMBEDDED C++, LITHIUM-ION",18,25,2026-05-16T19:22:44.551000+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","SIMULINK, BMS, AUTOSAR",18,27,2026-05-16T19:22:44.551075+00:00
