Record_Origin,Industry_Sector,Job_Title,Location,Region,Top_In_Demand_Technologies_MI (80% Share),Derived_Skill_DNA_Tokens,Market_Demand_Share_Pct,Projected_Growth_Rate_2026_Pct,Timestamp_UTC
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Embedded C++', 'Lithium-ion Safety', 'Simulink']",29,16,2026-05-16T19:13:21.147286+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Lithium-ion Safety', 'Simulink', 'Thermal Management']",32,13,2026-05-16T19:13:21.147303+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['Lithium-ion Safety', 'Matlab', 'Simulink', 'Thermal Management']",19,22,2026-05-16T19:13:21.147313+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",East Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Embedded C++', 'High Voltage', 'Simulink']",32,19,2026-05-16T19:13:21.147321+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'BMS', 'LIN Bus', 'Lithium-ion Safety']",35,24,2026-05-16T19:13:21.147329+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'High Voltage', 'Simulink', 'Thermal Management']",20,8,2026-05-16T19:13:21.147336+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Drivetrain Integration', 'LIN Bus', 'Lithium-ion Safety']",34,15,2026-05-16T19:13:21.147344+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['High Voltage', 'LIN Bus', 'Lithium-ion Safety', 'Simulink']",17,25,2026-05-16T19:13:21.147360+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'LIN Bus', 'Matlab', 'Simulink']",21,24,2026-05-16T19:13:21.147370+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'ISO 26262', 'Simulink', 'Thermal Management']",32,12,2026-05-16T19:13:21.147378+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Embedded C++', 'ISO 26262', 'Thermal Management']",25,21,2026-05-16T19:13:21.147385+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Embedded C++', 'ISO 26262', 'Power Electronics']",18,11,2026-05-16T19:13:21.147392+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Embedded C++', 'LIN Bus', 'Power Electronics']",17,9,2026-05-16T19:13:21.147400+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'Lithium-ion Safety', 'Simulink', 'UDS']",20,9,2026-05-16T19:13:21.147407+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'High Voltage', 'Lithium-ion Safety', 'Matlab']",30,14,2026-05-16T19:13:21.147414+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'BMS', 'Embedded C++', 'UDS']",33,28,2026-05-16T19:13:21.147422+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'CAN Bus', 'Power Electronics', 'Thermal Management']",30,24,2026-05-16T19:13:21.147430+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'Matlab', 'UDS']",33,16,2026-05-16T19:13:21.147437+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Drivetrain Integration', 'LIN Bus', 'Thermal Management']",22,27,2026-05-16T19:13:21.147445+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'ISO 26262', 'LIN Bus', 'Power Electronics']",15,14,2026-05-16T19:13:21.147452+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Upper Peninsula,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'LIN Bus', 'Power Electronics', 'UDS']",17,22,2026-05-16T19:13:21.147461+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'High Voltage', 'Thermal Management', 'UDS']",16,19,2026-05-16T19:13:21.147476+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Embedded C++', 'Matlab', 'Power Electronics']",28,19,2026-05-16T19:13:21.147486+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Lithium-ion Safety', 'Matlab', 'Simulink']",16,27,2026-05-16T19:13:21.147494+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Embedded C++', 'High Voltage', 'UDS']",16,10,2026-05-16T19:13:21.147502+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'ISO 26262', 'Simulink', 'UDS']",17,14,2026-05-16T19:13:21.147526+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000","['High Voltage', 'Lithium-ion Safety', 'Thermal Management', 'UDS']",18,15,2026-05-16T19:13:21.147536+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'BMS', 'Lithium-ion Safety', 'UDS']",21,14,2026-05-16T19:13:21.147543+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Lithium-ion Safety', 'Thermal Management', 'UDS']",22,26,2026-05-16T19:13:21.147550+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'Drivetrain Integration', 'Simulink', 'UDS']",32,25,2026-05-16T19:13:21.147558+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'Lithium-ion Safety', 'Thermal Management', 'UDS']",18,28,2026-05-16T19:13:21.147565+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Embedded C++', 'ISO 26262', 'Matlab']",29,21,2026-05-16T19:13:21.147572+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'ISO 26262', 'Matlab', 'Simulink']",20,25,2026-05-16T19:13:21.147580+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['LIN Bus', 'Lithium-ion Safety', 'Simulink', 'Thermal Management']",25,13,2026-05-16T19:13:21.147587+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['BMS', 'CAN Bus', 'LIN Bus', 'UDS']",29,19,2026-05-16T19:13:21.147601+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['LIN Bus', 'Matlab', 'Simulink', 'UDS']",25,19,2026-05-16T19:13:21.147611+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'Lithium-ion Safety', 'Thermal Management']",28,18,2026-05-16T19:13:21.147619+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'Drivetrain Integration', 'Embedded C++', 'Lithium-ion Safety']",33,25,2026-05-16T19:13:21.147627+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Matlab', 'Thermal Management', 'UDS']",32,16,2026-05-16T19:13:21.147634+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",East Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'High Voltage', 'ISO 26262', 'Matlab']",29,20,2026-05-16T19:13:21.147642+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['Embedded C++', 'High Voltage', 'Matlab', 'Simulink']",16,17,2026-05-16T19:13:21.147649+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'ISO 26262', 'Power Electronics', 'UDS']",31,12,2026-05-16T19:13:21.147656+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'Drivetrain Integration', 'Lithium-ion Safety', 'Matlab']",24,15,2026-05-16T19:13:21.147664+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'CAN Bus', 'ISO 26262', 'UDS']",15,16,2026-05-16T19:13:21.147672+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'BMS', 'ISO 26262', 'Thermal Management']",32,26,2026-05-16T19:13:21.147679+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Drivetrain Integration', 'High Voltage', 'ISO 26262', 'Matlab']",18,9,2026-05-16T19:13:21.147686+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",North East Michigan,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'Embedded C++', 'High Voltage', 'Thermal Management']",19,12,2026-05-16T19:13:21.147694+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,AUTOSAR & ISO 26262 Frameworks,"['High Voltage', 'ISO 26262', 'Matlab', 'Power Electronics']",33,15,2026-05-16T19:13:21.147708+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Embedded C++', 'LIN Bus', 'Thermal Management']",24,10,2026-05-16T19:13:21.147718+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Embedded C++', 'Matlab', 'Thermal Management']",33,14,2026-05-16T19:13:21.147726+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'High Voltage', 'Lithium-ion Safety', 'Matlab']",25,23,2026-05-16T19:13:21.147734+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'BMS', 'High Voltage', 'Power Electronics']",33,11,2026-05-16T19:13:21.147742+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'BMS', 'Power Electronics', 'Simulink']",24,9,2026-05-16T19:13:21.147750+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Upper Peninsula,High Voltage Power Electronics Architecture,"['AUTOSAR', 'High Voltage', 'Matlab', 'Simulink']",27,10,2026-05-16T19:13:21.147757+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'ISO 26262', 'Matlab', 'Thermal Management']",25,19,2026-05-16T19:13:21.147764+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'Embedded C++', 'LIN Bus', 'UDS']",28,11,2026-05-16T19:13:21.147772+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'BMS', 'Power Electronics', 'Simulink']",35,27,2026-05-16T19:13:21.147779+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['BMS', 'LIN Bus', 'Matlab', 'Simulink']",35,20,2026-05-16T19:13:21.147786+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'CAN Bus', 'High Voltage', 'Power Electronics']",31,9,2026-05-16T19:13:21.147794+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'High Voltage', 'Lithium-ion Safety', 'Simulink']",33,12,2026-05-16T19:13:21.147801+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Drivetrain Integration', 'High Voltage', 'UDS']",22,12,2026-05-16T19:13:21.147819+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'Embedded C++', 'Matlab', 'Thermal Management']",27,22,2026-05-16T19:13:21.147829+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Drivetrain Integration', 'ISO 26262', 'LIN Bus']",33,24,2026-05-16T19:13:21.147836+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Drivetrain Integration', 'LIN Bus', 'Lithium-ion Safety', 'Simulink']",28,17,2026-05-16T19:13:21.147843+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",High Voltage Systems Engineer,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['AUTOSAR', 'Drivetrain Integration', 'Embedded C++', 'UDS']",19,12,2026-05-16T19:13:21.147850+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'CAN Bus', 'Matlab', 'Power Electronics']",30,26,2026-05-16T19:13:21.147858+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'Embedded C++', 'High Voltage', 'Power Electronics']",32,20,2026-05-16T19:13:21.147864+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000","['BMS', 'LIN Bus', 'Thermal Management', 'UDS']",27,24,2026-05-16T19:13:21.147872+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'Drivetrain Integration', 'Embedded C++', 'LIN Bus']",19,12,2026-05-16T19:13:21.147887+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'LIN Bus', 'Matlab', 'Thermal Management']",21,23,2026-05-16T19:13:21.147896+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'Simulink', 'UDS']",33,14,2026-05-16T19:13:21.147904+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'LIN Bus', 'Power Electronics', 'Simulink']",31,15,2026-05-16T19:13:21.147911+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000","['Embedded C++', 'Lithium-ion Safety', 'Power Electronics', 'UDS']",23,21,2026-05-16T19:13:21.147919+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['CAN Bus', 'Drivetrain Integration', 'Lithium-ion Safety', 'UDS']",33,10,2026-05-16T19:13:21.147927+00:00
